year,top_charge,indicator,disposition,white_n,white_perc,black_n,black_perc,hispanic_n,hispanic_perc,other_n,other_perc,total_n,total_perc
2016,Misdemeanor,Sentences,Jail+Probation,34,0.008540567696558653,22,0.00796812749003984,1,0.0029411764705882353,1,0.005102040816326531,58,0.007969222313822478
2016,Misdemeanor,Sentences,Probation,423,0.10625470987189148,269,0.09742846794639623,27,0.07941176470588235,19,0.09693877551020408,738,0.10140148392415499
2016,Misdemeanor,Sentences,Fine,789,0.19819140919366995,137,0.04961970300615719,25,0.07352941176470588,32,0.163265306122449,983,0.1350645781808189
2016,Misdemeanor,Sentences,Cond Discharge,718,0.18035669429791512,704,0.2549800796812749,86,0.2529411764705882,28,0.14285714285714288,1536,0.2110469909315746
2016,Misdemeanor,Sentences,Other/Unknown,4,0.001004772670183371,5,0.0018109380659181457,0,0,0,0,9,0.001236603462489695
2017,Felony,Overall,Total Dispositions,1573,1,1667,1,189,1,82,1,3511,1
2017,Felony,Overall,Convicted-Sentenced,1049,0.6668785759694851,1123,0.6736652669466107,137,0.7248677248677248,57,0.6951219512195123,2366,0.6738820848761037
2017,Felony,Overall,Diverted and Dismissed,0,0,0,0,0,0,0,0,0,0
2017,Felony,Overall,Covered by Another Case,256,0.16274634456452639,164,0.09838032393521295,16,0.08465608465608465,8,0.0975609756097561,444,0.12645969809171176
2017,Felony,Overall,Dismissed-ACD,143,0.09090909090909091,124,0.07438512297540492,18,0.09523809523809523,8,0.0975609756097561,293,0.08345200797493592
2017,Felony,Overall,Dismissed-Not ACD,107,0.06802288620470438,220,0.13197360527894422,16,0.08465608465608465,5,0.06097560975609756,348,0.09911706066647678
2017,Felony,Overall,Acquitted,5,0.003178639542275906,17,0.010197960407918417,2,0.010582010582010581,3,0.03658536585365854,27,0.007690116775847336
2017,Felony,Overall,DA Declined to Prosecute,0,0,1,5.998800239952009e-4,0,0,0,0,1,2.848191398461977e-4
2017,Felony,Overall,Other,13,0.008264462809917356,18,0.010797840431913617,0,0,1,0.012195121951219513,32,0.009114212475078326
2017,Felony,Adult Non-YO Convictions,Felonies,410,0.2606484424666243,470,0.2819436112777445,66,0.3492063492063492,20,0.24390243902439024,966,0.2751352890914269
2017,Felony,Adult Non-YO Convictions,Misdemeanors,490,0.31150667514303876,479,0.28734253149370126,56,0.2962962962962963,25,0.3048780487804878,1050,0.29906009683850754
2017,Felony,Adult Non-YO Convictions,Non-Criminal/Unknown,111,0.07056579783852511,107,0.06418716256748651,10,0.052910052910052914,7,0.08536585365853659,235,0.06693249786385645
2017,Felony,Youthful Offender Adjudications,Felonies,18,0.011443102352193263,37,0.022195560887822437,4,0.021164021164021163,4,0.04878048780487805,63,0.017943605810310452
2017,Felony,Youthful Offender Adjudications,Misdemeanors,20,0.012714558169103624,30,0.017996400719856028,1,0.005291005291005291,1,0.012195121951219513,52,0.014810595272002278
2017,Felony,Youthful Offender Adjudications,Unknown,0,0,0,0,0,0,0,0,0,0
2017,Felony,Sentences,Prison,180,0.11443102352193261,295,0.17696460707858427,38,0.20105820105820105,8,0.0975609756097561,521,0.148390771859869
2017,Felony,Sentences,Jail,131,0.08328035600762874,166,0.09958008398320337,23,0.12169312169312169,8,0.0975609756097561,328,0.09342067786955283
2017,Felony,Sentences,Time Served,32,0.020343293070565798,69,0.041391721655668866,8,0.042328042328042326,3,0.03658536585365854,112,0.03189974366277414
2017,Felony,Sentences,Jail+Probation,87,0.05530832803560076,54,0.03239352129574085,6,0.031746031746031744,7,0.08536585365853659,154,0.04386214753631444
2017,Felony,Sentences,Probation,310,0.19707565162110616,258,0.15476904619076184,29,0.15343915343915343,15,0.18292682926829268,612,0.17430931358587298
2017,Felony,Sentences,Fine,56,0.03560076287349015,16,0.009598080383923215,5,0.026455026455026457,1,0.012195121951219513,78,0.02221589290800342
2017,Felony,Sentences,Cond Discharge,250,0.1589319771137953,262,0.15716856628674264,28,0.14814814814814814,15,0.18292682926829268,555,0.1580746226146397
2017,Felony,Sentences,Other/Unknown,3,0.0019071837253655435,3,0.001799640071985603,0,0,0,0,6,0.001708914839077186
2017,Violent Felony,Overall,Total Dispositions,352,1,529,1,42,1,19,1,942,1
2017,Violent Felony,Overall,Convicted-Sentenced,213,0.6051136363636364,350,0.6616257088846881,36,0.8571428571428571,12,0.631578947368421,611,0.6486199575371551
2017,Violent Felony,Overall,Diverted and Dismissed,0,0,0,0,0,0,0,0,0,0
2017,Violent Felony,Overall,Covered by Another Case,84,0.23863636363636365,50,0.0945179584120983,0,0,0,0,134,0.14225053078556263
2017,Violent Felony,Overall,Dismissed-ACD,28,0.07954545454545454,36,0.06805293005671077,3,0.07142857142857144,3,0.15789473684210525,70,0.07430997876857749
2017,Violent Felony,Overall,Dismissed-Not ACD,22,0.0625,74,0.13988657844990549,2,0.047619047619047616,3,0.15789473684210525,101,0.10721868365180467
2017,Violent Felony,Overall,Acquitted,3,0.008522727272727272,11,0.020793950850661623,1,0.023809523809523808,1,0.052631578947368425,16,0.016985138004246284
2017,Violent Felony,Overall,DA Declined to Prosecute,0,0,0,0,0,0,0,0,0,0
2017,Violent Felony,Overall,Other,2,0.005681818181818182,8,0.015122873345935728,0,0,0,0,10,0.010615711252653927
2017,Violent Felony,Adult Non-YO Convictions,Felonies,107,0.3039772727272727,156,0.2948960302457467,18,0.42857142857142855,4,0.2105263157894737,285,0.302547770700637
2017,Violent Felony,Adult Non-YO Convictions,Misdemeanors,65,0.1846590909090909,124,0.23440453686200377,16,0.38095238095238093,5,0.2631578947368421,210,0.2229299363057325
2017,Violent Felony,Adult Non-YO Convictions,Non-Criminal/Unknown,21,0.05965909090909091,32,0.06049149338374291,0,0,1,0.052631578947368425,54,0.057324840764331204
2017,Violent Felony,Youthful Offender Adjudications,Felonies,12,0.03409090909090909,32,0.06049149338374291,2,0.047619047619047616,2,0.10526315789473685,48,0.05095541401273885
