ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",124,"Onondaga County, NY","05000US36067","onondaga-county-ny",109,0.00023267579296550636
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",102,"Onondaga County, NY","05000US36067","onondaga-county-ny",60,0.00012807841814615028
0,"White Alone",1,"Hispanic or Latino",2015,"2015",1467,"Onondaga County, NY","05000US36067","onondaga-county-ny",14565,0.031091036004977982
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",2565.819946917554,"Onondaga County, NY","05000US36067","onondaga-county-ny",13526,0.028873144730747147
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",40,"Onondaga County, NY","05000US36067","onondaga-county-ny",26,0.00005550064786333179
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",778,"Onondaga County, NY","05000US36067","onondaga-county-ny",360525,0.7695911950356805
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",1026.0077972413271,"Onondaga County, NY","05000US36067","onondaga-county-ny",2523,0.005385697483045619
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",42,"Onondaga County, NY","05000US36067","onondaga-county-ny",25,0.00005336600756089595
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",1367,"Onondaga County, NY","05000US36067","onondaga-county-ny",4717,0.010074840451434868
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",559,"Onondaga County, NY","05000US36067","onondaga-county-ny",2610,0.005574588420234261
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",132,"Onondaga County, NY","05000US36067","onondaga-county-ny",111,0.0002370801971823766
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",82,"Onondaga County, NY","05000US36067","onondaga-county-ny",83,0.00017727618347871405
